usine,produit,quantité,date,quantité_stock,quantite_expedié
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,51,2022-01-01,91,44
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,55,2022-01-01,101,45
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,54,2022-01-01,117,46
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,65,2022-01-01,118,48
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,56,2022-01-01,125,49
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,60,2022-01-01,135,50
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,40,2022-01-01,145,30
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,64,2022-01-01,157,52
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,35,2022-01-01,124,28
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,61,2022-01-01,250,46
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,220,30
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,189,31
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,157,32
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,44,2022-01-01,168,33
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,43,2022-01-01,177,34
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,46,2022-01-01,188,35
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,37,2022-01-01,189,36
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,36,2022-01-01,188,37
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,49,2022-01-01,199,38
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,26,2022-01-01,186,39
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,54,2022-01-01,199,41
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,46,2022-01-01,203,42
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,59,2022-01-01,219,43
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,46,2022-01-01,221,44
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,54,2022-01-01,230,45
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,58,2022-01-01,241,47
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,213,28
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,68,2022-01-01,137,55
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,78,2022-01-01,158,57
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,101,2022-01-01,177,81
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,96,2022-01-01,172,82
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,114,2022-01-01,208,83
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,104,2022-01-01,227,85
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,105,2022-01-01,191,86
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,97,2022-01-01,237,87
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,108,2022-01-01,211,88
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,110,2022-01-01,232,89
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,126,2022-01-01,272,91
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,101,2022-01-01,241,92
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,122,2022-01-01,301,93
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,131,2022-01-01,338,94
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,121,2022-01-01,267,95
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,126,2022-01-01,367,97
Entonova Rotterdam Processing Hub,Barres protéinées,69,2022-01-01,93,59
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,94,2022-01-01,281,80
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,311,56
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,108,2022-01-01,340,79
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,105,2022-01-01,310,76
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,45,2022-01-01,297,58
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,76,2022-01-01,314,59
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,279,61
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,73,2022-01-01,290,62
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,76,2022-01-01,303,63
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,57,2022-01-01,296,64
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,41,2022-01-01,290,65
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,86,2022-01-01,309,67
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,71,2022-01-01,312,68
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,86,2022-01-01,329,69
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,96,2022-01-01,355,70
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,94,2022-01-01,319,71
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,90,2022-01-01,372,73
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,101,2022-01-01,346,74
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,98,2022-01-01,395,75
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,106,2022-01-01,375,77
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,114,2022-01-01,234,92
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,186,27
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,162,24
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,355,35
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,319,36
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,282,37
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,244,38
Entonova Brest Bioproduction Plant,Huile d'insectes,26,2022-01-01,231,39
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,191,40
Entonova Brest Bioproduction Plant,Huile d'insectes,48,2022-01-01,198,41
Entonova Brest Bioproduction Plant,Huile d'insectes,53,2022-01-01,209,42
Entonova Brest Bioproduction Plant,Huile d'insectes,56,2022-01-01,221,44
Entonova Brest Bioproduction Plant,Huile d'insectes,56,2022-01-01,231,46
Entonova Brest Bioproduction Plant,Huile d'insectes,49,2022-01-01,233,47
Entonova Brest Bioproduction Plant,Huile d'insectes,66,2022-01-01,251,48
Entonova Brest Bioproduction Plant,Huile d'insectes,49,2022-01-01,251,49
Entonova Brest Bioproduction Plant,Huile d'insectes,67,2022-01-01,268,50
Entonova Brest Bioproduction Plant,Huile d'insectes,12,2022-01-01,229,51
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,195,34
Entonova Brest Bioproduction Plant,Huile d'insectes,58,2022-01-01,201,52
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2022-01-01,168,33
Entonova Brest Bioproduction Plant,Huile d'insectes,37,2022-01-01,174,31
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,128,2022-01-01,329,95
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,117,2022-01-01,350,96
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,131,2022-01-01,384,97
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,132,2022-01-01,267,99
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,118,2022-01-01,402,100
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,116,2022-01-01,281,102
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,120,2022-01-01,298,103
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,125,2022-01-01,423,104
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,141,2022-01-01,458,106
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,138,2022-01-01,327,109
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,147,2022-01-01,495,110
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,124,2022-01-01,508,111
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,145,2022-01-01,540,113
Entonova Brest Bioproduction Plant,Huile d'insectes,1,2022-01-01,149,26
Entonova Brest Bioproduction Plant,Huile d'insectes,1,2022-01-01,123,27
Entonova Brest Bioproduction Plant,Huile d'insectes,42,2022-01-01,133,32
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,137,25
Entonova Brest Bioproduction Plant,Huile d'insectes,66,2022-01-01,146,53
Entonova Brest Bioproduction Plant,Huile d'insectes,70,2022-01-01,161,55
Entonova Brest Bioproduction Plant,Huile d'insectes,86,2022-01-01,172,75
Entonova Brest Bioproduction Plant,Huile d'insectes,99,2022-01-01,195,76
Entonova Brest Bioproduction Plant,Huile d'insectes,103,2022-01-01,221,77
Entonova Brest Bioproduction Plant,Huile d'insectes,102,2022-01-01,245,78
Entonova Brest Bioproduction Plant,Huile d'insectes,99,2022-01-01,265,79
Entonova Brest Bioproduction Plant,Huile d'insectes,98,2022-01-01,283,80
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,123,14
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,108,15
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,91,17
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,19,2022-01-01,92,18
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,24,2022-01-01,97,19
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,26,2022-01-01,103,20
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,22,2022-01-01,104,21
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,28,2022-01-01,110,22
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,29,2022-01-01,116,23
Entonova Brest Bioproduction Plant,Huile d'insectes,84,2022-01-01,293,74
Entonova Brest Bioproduction Plant,Huile d'insectes,12,2022-01-01,251,54
Entonova Brest Bioproduction Plant,Huile d'insectes,88,2022-01-01,266,73
Entonova Brest Bioproduction Plant,Huile d'insectes,89,2022-01-01,284,71
Entonova Brest Bioproduction Plant,Huile d'insectes,46,2022-01-01,274,56
Entonova Brest Bioproduction Plant,Huile d'insectes,51,2022-01-01,268,57
Entonova Brest Bioproduction Plant,Huile d'insectes,67,2022-01-01,277,58
Entonova Brest Bioproduction Plant,Huile d'insectes,80,2022-01-01,298,59
Entonova Brest Bioproduction Plant,Huile d'insectes,76,2022-01-01,314,60
Entonova Brest Bioproduction Plant,Huile d'insectes,82,2022-01-01,335,61
Entonova Brest Bioproduction Plant,Huile d'insectes,50,2022-01-01,323,62
Entonova Brest Bioproduction Plant,Huile d'insectes,81,2022-01-01,341,63
Entonova Brest Bioproduction Plant,Huile d'insectes,44,2022-01-01,321,64
Entonova Brest Bioproduction Plant,Huile d'insectes,74,2022-01-01,330,65
Entonova Brest Bioproduction Plant,Huile d'insectes,45,2022-01-01,309,66
Entonova Brest Bioproduction Plant,Huile d'insectes,82,2022-01-01,324,67
Entonova Brest Bioproduction Plant,Huile d'insectes,93,2022-01-01,349,68
Entonova Brest Bioproduction Plant,Huile d'insectes,91,2022-01-01,371,69
Entonova Brest Bioproduction Plant,Huile d'insectes,19,2022-01-01,320,70
Entonova Brest Bioproduction Plant,Huile d'insectes,81,2022-01-01,329,72
Entonova Rotterdam Processing Hub,Barres protéinées,80,2022-01-01,115,58
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,366,9
Entonova Rotterdam Processing Hub,Barres protéinées,74,2022-01-01,133,56
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,92,2022-01-01,386,72
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,97,2022-01-01,410,73
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,40,2022-01-01,376,74
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,59,2022-01-01,360,75
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,95,2022-01-01,379,76
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,66,2022-01-01,368,77
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,101,2022-01-01,418,78
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,107,2022-01-01,396,79
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,103,2022-01-01,418,81
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,112,4
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,107,5
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,101,6
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,94,7
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,86,8
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,77,9
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,347,71
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,67,10
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,87,2022-01-01,364,70
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,86,2022-01-01,382,68
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,365,53
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,328,54
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,310,55
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,17,2022-01-01,289,56
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,26,2022-01-01,258,57
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,77,2022-01-01,277,58
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,50,2022-01-01,301,59
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,80,2022-01-01,321,60
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,82,2022-01-01,298,61
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,86,2022-01-01,322,62
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,81,2022-01-01,340,63
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,29,2022-01-01,286,64
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,75,2022-01-01,296,65
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,90,2022-01-01,320,66
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,45,2022-01-01,318,67
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,90,2022-01-01,341,69
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,267,51
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2022-01-01,56,11
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,17,2022-01-01,60,13
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,227,40
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,23,2022-01-01,209,41
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,299,42
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,56,2022-01-01,222,43
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,255,44
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,60,2022-01-01,237,45
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,64,2022-01-01,273,46
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,2,2022-01-01,228,47
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,66,2022-01-01,255,48
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,60,2022-01-01,239,49
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,45,2022-01-01,250,50
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,64,2022-01-01,252,51
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,35,2022-01-01,233,52
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,59,2022-01-01,239,53
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,65,2022-01-01,263,54
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,200,39
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,16,2022-01-01,64,12
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,52,2022-01-01,214,38
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,228,35
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,19,2022-01-01,69,14
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,20,2022-01-01,74,15
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,211,17
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,195,19
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,175,20
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,153,22
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,130,23
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,5,2022-01-01,111,24
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,35,2022-01-01,119,27
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,183,28
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,154,29
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,33,2022-01-01,122,30
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,37,2022-01-01,128,31
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,39,2022-01-01,161,32
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,43,2022-01-01,138,33
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,40,2022-01-01,142,36
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,70,2022-01-01,157,55
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,63,2022-01-01,175,49
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,55,2022-01-01,185,45
Entonova Kraków Insect Farm,Insectes en vrac,33,2022-01-01,34,27
Entonova Kraków Insect Farm,Insectes en vrac,36,2022-01-01,42,28
Entonova Brest Bioproduction Plant,Insectes en vrac,37,2022-01-01,24,29
Entonova Kraków Insect Farm,Insectes en vrac,35,2022-01-01,47,30
Entonova Kraków Insect Farm,Insectes en vrac,42,2022-01-01,58,31
Entonova Brest Bioproduction Plant,Insectes en vrac,42,2022-01-01,34,32
Entonova Kraków Insect Farm,Insectes en vrac,46,2022-01-01,70,34
Entonova Kraków Insect Farm,Insectes en vrac,47,2022-01-01,81,36
Entonova Brest Bioproduction Plant,Insectes en vrac,47,2022-01-01,44,37
Entonova Kraków Insect Farm,Insectes en vrac,44,2022-01-01,86,39
Entonova Brest Bioproduction Plant,Insectes en vrac,53,2022-01-01,57,40
Entonova Kraków Insect Farm,Insectes en vrac,46,2022-01-01,91,41
Entonova Kraków Insect Farm,Insectes en vrac,55,2022-01-01,104,42
Entonova Brest Bioproduction Plant,Insectes en vrac,47,2022-01-01,61,43
Entonova Kraków Insect Farm,Insectes en vrac,49,2022-01-01,109,44
Entonova Brest Bioproduction Plant,Insectes en vrac,27,2022-01-01,64,24
Entonova Brest Bioproduction Plant,Insectes en vrac,60,2022-01-01,79,45
Entonova Brest Bioproduction Plant,Insectes en vrac,28,2022-01-01,85,22
Entonova Brest Bioproduction Plant,Insectes en vrac,26,2022-01-01,91,20
Entonova Rotterdam Processing Hub,Barres protéinées,70,2022-01-01,146,57
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,536,4
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,531,5
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,525,6
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,518,7
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,510,8
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,318,9
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,308,10
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,297,11
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,498,12
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,284,13
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,484,14
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,269,15
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2022-01-01,253,16
Entonova Brest Bioproduction Plant,Insectes en vrac,14,2022-01-01,86,19
Entonova Brest Bioproduction Plant,Insectes en vrac,24,2022-01-01,89,21
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,61,2022-01-01,199,47
Entonova Brest Bioproduction Plant,Insectes en vrac,60,2022-01-01,103,46
Entonova Kraków Insect Farm,Insectes en vrac,53,2022-01-01,114,48
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,173,26
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,146,27
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,24,2022-01-01,142,28
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,28,2022-01-01,156,29
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,24,2022-01-01,150,30
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,33,2022-01-01,144,31
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,40,2022-01-01,149,35
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,48,2022-01-01,161,36
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,51,2022-01-01,175,37
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,35,2022-01-01,172,38
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,52,2022-01-01,163,39
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,52,2022-01-01,175,40
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,51,2022-01-01,182,41
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,52,2022-01-01,185,42
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,57,2022-01-01,195,44
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2022-01-01,171,24
Entonova Kraków Insect Farm,Insectes en vrac,57,2022-01-01,124,47
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,162,23
Entonova Kraków Insect Farm,Insectes en vrac,88,2022-01-01,148,64
Entonova Kraków Insect Farm,Insectes en vrac,59,2022-01-01,158,49
Entonova Brest Bioproduction Plant,Insectes en vrac,57,2022-01-01,110,50
Entonova Brest Bioproduction Plant,Insectes en vrac,56,2022-01-01,115,51
Entonova Brest Bioproduction Plant,Insectes en vrac,72,2022-01-01,135,52
Entonova Kraków Insect Farm,Insectes en vrac,60,2022-01-01,165,53
Entonova Kraków Insect Farm,Insectes en vrac,67,2022-01-01,178,54
Entonova Kraków Insect Farm,Insectes en vrac,66,2022-01-01,189,55
Entonova Brest Bioproduction Plant,Insectes en vrac,73,2022-01-01,152,56
Entonova Brest Bioproduction Plant,Insectes en vrac,75,2022-01-01,170,57
Entonova Kraków Insect Farm,Insectes en vrac,71,2022-01-01,202,58
Entonova Brest Bioproduction Plant,Insectes en vrac,70,2022-01-01,181,59
Entonova Brest Bioproduction Plant,Insectes en vrac,72,2022-01-01,193,60
Entonova Kraków Insect Farm,Insectes en vrac,83,2022-01-01,224,61
Entonova Kraków Insect Farm,Insectes en vrac,80,2022-01-01,242,62
Entonova Brest Bioproduction Plant,Insectes en vrac,70,2022-01-01,200,63
Entonova Kraków Insect Farm,Insectes en vrac,83,2022-01-01,260,65
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,64,2022-01-01,170,56
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2022-01-01,145,25
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,77,2022-01-01,164,58
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,425,59
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,67,2022-01-01,260,60
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2022-01-01,364,61
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,77,2022-01-01,275,62
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,26,2022-01-01,327,63
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,23,2022-01-01,286,64
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,78,2022-01-01,299,65
Entonova Kraków Insect Farm,Insectes en vrac,0,2022-01-01,255,5
Entonova Kraków Insect Farm,Insectes en vrac,0,2022-01-01,249,6
Entonova Brest Bioproduction Plant,Insectes en vrac,0,2022-01-01,193,7
Entonova Brest Bioproduction Plant,Insectes en vrac,0,2022-01-01,185,8
Entonova Kraków Insect Farm,Insectes en vrac,0,2022-01-01,240,9
Entonova Brest Bioproduction Plant,Insectes en vrac,0,2022-01-01,175,10
Entonova Kraków Insect Farm,Insectes en vrac,0,2022-01-01,229,11
Entonova Kraków Insect Farm,Insectes en vrac,0,2022-01-01,217,12
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,77,2022-01-01,318,58
Entonova Brest Bioproduction Plant,Insectes en vrac,0,2022-01-01,162,13
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,70,2022-01-01,288,57
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,17,2022-01-01,280,55
